sentence_source	label	label_notes	sentence
8005	1	Comment:	influenza virus
8027	0	Comment:	effect way
8031	1	Comment:	viruses infections
8041	0	Comment:	subject implication
8043	1	Comment:	treaty rule
8055	0	Comment:	murders conviction
8058	1	Comment:	vibrations movement
8073	0	Comment:	slide crew
8083	1	Comment:	fatigue pain
8105	0	Comment:	spills hurricane
8107	0	Comment:	diseases gene mutations
8108	0	Comment:	response ripple
8116	0	Comment:	joy laughing
8118	1	Comment:	receiver tone
8159	1	Comment:	microbes sickness
8175	0	Comment:	pollution cars
8191	1	Comment:	rain cancellation
8204	0	Comment:	sound viper
8219	0	Comment:	crash attack
8234	0	Comment:	damage misuse
8236	1	Comment:	enjoyment programming
8239	1	Comment:	migrations deprivation
8240	0	Comment:	accident impact
8253	1	Comment:	airstrike explosions
8257	0	Comment:	conflict wastewater
8265	0	Comment:	damage tornado
8288	1	Comment:	hair loss stress
8312	0	Comment:	colors dispersion
8334	0	Comment:	depression unemployment
8357	0	Comment:	collision crashes
8361	0	Comment:	pain strains
8373	0	Comment:	damage bullet
8377	1	Comment:	neuralgia headache
8382	0	Comment:	damage earthquake
8402	1	Comment:	misinterpretation word
8403	0	Comment:	damage bombing
8404	0	Comment:	death tsunami
8405	0	Comment:	satisfaction playing
8409	0	Comment:	leakage person
8417	1	Comment:	microcracks stress
8439	0	Comment:	fear stab
8455	0	Comment:	suffering embargo
8471	1	Comment:	nuclear energy pollution
8473	0	Comment:	anger abuse
8476	1	Comment:	debt stress
8486	1	Comment:	strike death
8489	0	Comment:	fear power
8493	0	Comment:	tides gravitational pull
8494	0	Comment:	streaks particles
8498	1	Comment:	dust alarm
8500	0	Comment:	bacteria sickness
8503	0	Comment:	pain indigestion
8509	0	Comment:	joy eating
8512	1	Comment:	stroke death
8520	1	Comment:	flicker candles
8521	0	Comment:	pain torment
8523	0	Comment:	discomfort braces
8534	1	Comment:	distraction incident
8535	0	Comment:	light friend
8536	1	Comment:	entrapments suffocation
8542	1	Comment:	storms losses
8556	1	Comment:	fume irritation
8591	0	Comment:	devastation waves
8596	1	Comment:	cancer illness
8602	0	Comment:	fire collision
8603	0	Comment:	joy animals
8608	0	Comment:	satisfaction watching
8621	0	Comment:	pollution shipwreck
8623	1	Comment:	inhalation irritation
8633	0	Comment:	pollution smog
8641	0	Comment:	noise powertrain
8648	1	Comment:	pandemic infection
8655	0	Comment:	wind weathering
8659	1	Comment:	bacteria acne
8681	0	Comment:	fear darkness
8690	0	Comment:	tsunami earthquake
8705	0	Comment:	agreements diversion
8708	1	Comment:	ulcer stress
8720	0	Comment:	recessions excess demand
8731	0	Comment:	recession collapse
8736	0	Comment:	lesions leg weakness
8739	0	Comment:	suffering bomb
8740	1	Comment:	death cancellation
8745	0	Comment:	problems policy
8748	0	Comment:	bacteria pneumonia
8752	1	Comment:	incoming water stain
8754	1	Comment:	bleeding injury
8764	1	Comment:	caterpillars disease
8774	1	Comment:	effect light
8775	0	Comment:	perturbations moon
8781	0	Comment:	crisis jobless rate
8812	0	Comment:	corruption utilities
8829	1	Comment:	creatures scare
8841	1	Comment:	ban debate
8851	0	Comment:	expansion development
8855	0	Comment:	experience blend
8857	0	Comment:	spill tanker
8858	1	Comment:	sunlight fatigue
8859	0	Comment:	damage collision
8875	1	Comment:	turbines electricity
8879	0	Comment:	suffering exploitation
8885	0	Comment:	riots verdict
8889	1	Comment:	cold germs
8914	0	Comment:	growth hormone
