sentence_source	label	label_notes	sentence
8191	0	dummy	"Rain caused cancellation of the event in 1877, so enforcement of the new law had to wait until 1878."
8239	0	dummy	"Seasonal and nocturnal migrations cause sleep deprivation in diurnal Swainson's thrush, Catharus ustulatus."
8404	0	dummy	"The sheer scale of the death and destruction caused by the 2004 Boxing Day tsunami is impossible to fathom, even five years on."
8439	0	dummy	"Finally, Slone's fear of AIDS and the mental distress she suffered from this fear were caused by the needle stab."
8493	0	dummy	"Tides are caused by the gravitational pull of the moon and sun, and the rotation of the Earth."
8494	0	dummy	The dramatic streaks we see in the sky are caused by particles that incinerate before they hit the ground.
8681	0	dummy	In the last couple of years I have been working with my fear from darkness.
8775	1	dummy	The thin F ring on the left of the image shows the perturbations caused by the moon Prometheus.
8974	0	dummy	"Infectious diseases or communicable diseases are caused by bacteria, viruses, and parasites."
9128	0	dummy	These toxins cause sickness or an unpleasant odor.
9234	1	dummy	The variations are caused by stratospheric winds and the chemical production and destruction of ozone.
9378	0	dummy	By far the greatest damage has been caused by the illicit use of the hallucinogens.
9403	1	dummy	"Most illnesses, including colds and flu, cause a toxic overload that also increases the stress on the kidneys."
9576	0	dummy	"The cause for the jump to over 30,000 was the deterioration in the economy triggered by a series of bankruptcies among banks and securities firms."
9601	0	dummy	"A polio outbreak in Nigeria was caused by the vaccine designed to stop it, leaving at least 69 children paralyzed."
9648	1	dummy	"The pandemic was caused by the virus Yesinia pestis, better known as The Bubonic Black Plague, which infected the flees on the Black rodents."
9720	0	dummy	The environmental and health consequences of the evacuation after the Chernobyl accident.
9722	0	dummy	The Queen has expressed her shock at the devastation caused by the flooding.
9725	1	dummy	"The speech caused a conservative combustion on the Internet, but when Wanda visited The Tonight Show a few weeks later to talk about the dinner, she told Jay Leno that she didn't even know about the controversy."
9812	0	dummy	The accident caused a traffic snarl on the ever busy bridge leading to diversions to other routes.
10102	0	dummy	Depression is among the top 10 causes of suicide both among doctors as well as nursing professionals.
10118	0	dummy	The shot caused a wound on the left side of the neck which bled profusely.
10209	0	dummy	"The storm is generated by an upwelling of warmer air, similar to a terrestrial thunderhead."
10275	1	dummy	"Colds and flu cause high fevers in babies and toddlers, but with the flu, the fever will last more than one or two days."
10434	1	dummy	"Each time a neuron unleashes its tiny jolt, it needs to replenish its stores of energy for the next spark."
10468	1	dummy	Scientists have revealed how environmental irritants such as air pollution and cigarette smoke which cause coughing in people.
10599	0	dummy	"Plaintiffs seek compensatory damages for personal injuries, property damage, emotional distress, and expenses resulting from the evacuation after the explosion."
10614	1	dummy	The complication arose from the light irradiation.
