,sentence_source,label,predicted,ks_test,best_distribution,distribution_summary,bayesfactor,max_test,min_test,label_notes,sentence,e1,e2,e1_e2,likelihood_e1_arrow_e2,wiley_e1_arrow_e2,gov.au_e1_arrow_e2,abc.net.au_e1_arrow_e2,nationalgeographic_e1_arrow_e2,smh_e1_arrow_e2,oreilly_e1_arrow_e2,springer_e1_arrow_e2,edu_e1_arrow_e2,wikipedia_e1_arrow_e2,nejm.org_e1_arrow_e2,bbc_e1_arrow_e2,time_e1_arrow_e2,mit.edu_e1_arrow_e2,au.news.yahoo.com_e1_arrow_e2,skynews_e1_arrow_e2,economist_e1_arrow_e2,ncbi.nlm.nih.gov_e1_arrow_e2,nytimes_e1_arrow_e2,IMDB_e1_arrow_e2
0,8005,0,1,"KstestResult(statistic=0.21, pvalue=0.4153681038339532)","{'t': {'df': 3.034054919475047, 'loc': 0.941035972642746, 'scale': 0.046861634269882456}}","          sumsquare_error        aic         bic  kl_div
t             5686.855795 -26.873574  117.161319     inf
cauchy        5768.715322 -21.255344  114.488426     inf
norm          5833.032158 -88.883280  114.699090     inf
lognorm       5844.082457 -88.521168  117.679489     inf
invgamma      5892.672239 -95.068637  117.836809     inf",inf,0.9738,0.8816,dummy,Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus.,influenza,virus,influenza virus,0,0.967474278,0.700205339,0.895439377,0.984612074,0.843112245,0.987951807,0.94691169,0.937001595,0.816277963,0.878612717,0.97742816,0.934844193,0.897683398,0.992644433,0.979466604,0.93129771,0.984257177,0.909090909,0.971001181
1,8027,0,1,"KstestResult(statistic=0.12789473684210526, pvalue=0.921959387235827)","{'t': {'df': 9772656.79747741, 'loc': 0.698927571107588, 'scale': 0.1883315084060847}}","          sumsquare_error        aic        bic  kl_div
t             1660.365097 -51.938490  93.770039     inf
norm          1660.369762 -53.940221  90.825654     inf
lognorm       1660.508490 -51.632852  93.771680     inf
gamma         1662.673871 -51.843601  93.796441     inf
invgamma      1667.345853 -52.373028  93.849755     inf",inf,0.8243,0.5392,dummy,"The same effect is achieved the traditional way, with a team of workers like Keebler elves.",effect,way,effect way,0,0.525316456,0.683927699,0.871459695,0.801251956,0.838052095,0.76415613,0.39953271,0.654575433,0.927141713,0.48582996,0.954941116,0.839824732,0.656416322,0.411971831,0.830860534,0.574626866,0.349693252,0.948501925,0.761445783
2,8031,1,1,"KstestResult(statistic=0.26105263157894737, pvalue=0.18742606850151933)","{'gamma': {'a': 384.7096956194388, 'loc': -3.3124066143658197, 'scale': 0.009796830731524035}}","         sumsquare_error        aic        bic  kl_div
gamma        1390.988592 -48.223962  90.406606     inf
chi2         1391.305467 -48.371066  90.410934     inf
norm         1391.313176 -50.070044  87.466600     inf
t            1391.315940 -48.069380  90.411077     inf
lognorm      1391.650154 -48.074284  90.415641     inf",inf,1,1,dummy,"Of the hundreds of strains of avian influenza A viruses, only four have caused human infections: H5N1, H7N3, H7N7, and H9N2.",viruses,infections,viruses infections,0,0.742834073,0.713777778,0.546623794,0.294117647,0.685309471,0.131898971,0.600280505,0.58714044,0.380952381,0.588235294,0.291938998,0.256077796,0.415318231,0.112238427,0.398550725,0.366471735,0.66337965,0.609195402,0.307654803
3,8041,1,0,"KstestResult(statistic=0.12947368421052632, pvalue=0.9152491035556692)","{'cauchy': {'loc': 0.2383815045804729, 'scale': 0.06728122088165253}}","          sumsquare_error        aic        bic  kl_div
cauchy        1089.610128  83.690000  82.822467     inf
t             1129.104309  47.982590  86.443395     inf
invgamma      1173.823448 -10.821508  87.181387     inf
lognorm       1175.091809 -12.116165  87.201906     inf
gamma         1178.996605 -15.791948  87.264938     inf",NaNe-Inf ,0.5909,0.1717,dummy,The subject of imply is the source of an implication while the subject of infer is the recipient of an implication.,subject,implication,subject implication,0,0.696132597,0.218851571,0.285714286,0.221890547,0.239971851,0.280639432,0.646666667,0.24137931,0.001719261,0.458469055,0.135039718,0.065244668,0.315891473,0.224358974,0.211469534,0.323665893,0.479338843,0.204604919,0.045211613
4,8043,1,0,"KstestResult(statistic=0.2, pvalue=0.47553768242113037)","{'cauchy': {'loc': 0.9615548829195564, 'scale': 0.03409445754919001}}","          sumsquare_error         aic         bic  kl_div
cauchy       10093.665818 -104.453308  125.118141     inf
norm         10409.343398 -212.220585  125.703260     inf
t            10409.437743 -210.229580  128.647871     inf
lognorm      10409.657786 -209.965331  128.648273     inf
invgamma     10494.067809 -212.657984  128.801719     inf",NaNe-Inf ,0.9959,0.3253,dummy,The treaty establishes a double majority rule for Council decisions.,treaty,rule,treaty rule,0,0.989663514,0.962895327,0.956951306,0.8672858,0.936599424,0.992321323,0.987816925,0.990301472,0.996551374,0.994080476,0.942818244,0.808580858,0.950683304,0.831360947,0.860676426,0.771784232,0.99915819,0.911136108,0.938990711
5,8055,1,0,"KstestResult(statistic=0.2736842105263158, pvalue=0.14981371506212893)","{'t': {'df': 5680204.600088991, 'loc': 0.40363032111141856, 'scale': 0.2103123136190797}}","         sumsquare_error        aic        bic  kl_div
t            1340.823247 -33.556364  89.708719     inf
norm         1340.825326 -35.557555  86.764309     inf
lognorm      1340.854937 -33.484642  89.709168     inf
gamma        1343.425969 -34.551810  89.745564     inf
chi2         1343.475271 -34.621632  89.746262     inf",9.62E-73,0.8983,0.5342,dummy,"In South Africa, which has one of the best police to public ratios on the continent, the share of murders that result in a conviction is about 18%, compared to 56% in the US and 61% in the UK.",murders,conviction,murders conviction,0,0.638461538,0.659836066,0.180700095,0.165092558,0.427135678,0.602688574,0.632707775,0.585048754,0.014380352,0.58891455,0.248927039,0.387755102,0.377410468,0.533947066,0.230031949,0.551094891,0.589364845,0.230379747,0.02503562
6,8058,1,1,"KstestResult(statistic=0.16894736842105262, pvalue=0.6842372186942359)","{'cauchy': {'loc': 0.9512102644744563, 'scale': 0.016545136665997003}}","          sumsquare_error         aic         bic  kl_div
cauchy       22880.607218 -203.231491  140.667392     inf
t            23584.016678 -247.205316  144.187142     inf
norm         24174.802570 -288.810909  141.712794     inf
lognorm      24186.297761 -286.561269  144.666266     inf
invgamma     24229.828284 -286.018890  144.700431     inf",inf,0.8784,0.3981,dummy,Traffic vibrations on the street outside had caused the movement of the light.,vibrations,movement,vibrations movement,0,0.896789599,0.931633015,0.94375963,0.927468758,0.96527923,0.838881491,0.892538379,0.961118392,0.999636847,0.949257853,0.954316515,0.943719238,0.878477306,0.973028337,0.985150656,0.958249497,0.994449584,0.948594149,0.949201742
7,8073,0,0,"KstestResult(statistic=0.53, pvalue=0.00010744421620390021)","{'chi2': {'df': 1.7666054886752511, 'loc': 0.006449657309330952, 'scale': 0.24634060592854196}}","       sumsquare_error        aic        bic  kl_div
chi2        500.955501  74.822765  71.002805     inf
expon       502.856885  64.016510  68.130344     inf
norm        507.985349  39.943515  68.323137     inf
t           507.986273  41.941820  71.267610     inf
gamma       508.030049  41.994160  71.269248     inf",NaNe-Inf ,1,0.8774,dummy,"The slide, which was triggered by an avalanche-control crew, damaged one home and blocked the road for most of the day.",slide,crew,slide crew,0,0.033832141,0.739442947,0.7523066,0.516239316,0.631578947,0.180924287,0.078014184,0.214975845,0.944071588,0.035222052,0.904071774,0.451143451,0.47289823,0.48566879,0.834854015,0.453125,0.006449657,0.475746269,0.999014882
8,8083,1,1,"KstestResult(statistic=0.14421052631578948, pvalue=0.8408610103630609)","{'cauchy': {'loc': 0.8696934469256726, 'scale': 0.017020938272677956}}","          sumsquare_error         aic         bic  kl_div
cauchy       11316.903068 -169.984804  127.291539     inf
t            11915.242377 -206.876839  131.214877     inf
lognorm      12260.048593 -241.762921  131.756899     inf
norm         12263.638984 -244.352005  128.818023     inf
invgamma     12267.099359 -240.589971  131.767822     inf",inf,0.7023,0.397,dummy,Muscle fatigue is the number one cause of arm muscle pain.,fatigue,pain,fatigue pain,0,0.908424908,0.829201102,0.756722952,0.852713178,0.873866447,0.871017114,0.937303681,0.865036232,0.916183237,0.876418663,0.842738205,0.866935484,0.835443038,0.866742597,0.901315789,0.894181083,0.955904561,0.873335398,0.860788114
9,8105,0,1,"KstestResult(statistic=0.12894736842105264, pvalue=0.9177860681401505)","{'cauchy': {'loc': 0.5175746509411558, 'scale': 0.07479398097826487}}","          sumsquare_error        aic        bic  kl_div
cauchy        1118.935928  68.277977  83.327073     inf
t             1157.327336   2.529040  86.912480     inf
invgamma      1161.114495  -8.336787  86.974553     inf
lognorm       1162.625155  -8.247268  86.999256     inf
gamma         1162.706935  -8.321741  87.000593     inf",2.26E+53,0.7031,0.2642,dummy,It spilled more than 53000 gallons of crude oil into the surrounding marshes one of the bigger spills caused by the hurricane.,spills,hurricane,spills hurricane,0,0.678100264,0.169381107,0.788118812,0.522565321,0.897125974,0.503616042,0.413793103,0.400556328,0.782334385,0.501010101,0.502314815,0.523311897,0.586486486,0.417508418,0.634730539,0.494331066,0.329710145,0.612962963,0.5294635
