sentence_source	label	label_notes	sentence
7	0	Comment:	The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.
14	0	Comment:	The burst has been caused by water hammer pressure.
23	1	Comment:	"The singer, who performed three of the nominated songs, also caused a commotion on the red carpet."
27	1	Comment:	"Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide."
32	0	Comment:	He had chest pains and headaches from mold in the bedrooms.
39	1	Comment:	Financial stress is one of the main causes of divorce.
41	1	Comment:	The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.
45	0	Comment:	Calluses are caused by improperly fitting shoes or by a skin abnormality.
48	0	Comment:	"As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle."
51	0	Comment:	The radiation from the atomic bomb explosion is a typical acute radiation.
53	0	Comment:	A neoplastic recurrence arose from an extensive radiation induced ulceration.
54	0	Comment:	He has a tattoo on his right arm and scars from stitches on his right elbow.
71	0	Comment:	The continuing Nigerian outbreak is the biggest ever caused by the vaccine.
73	0	Comment:	The fire inside WTC was caused by exploding fuel.
76	0	Comment:	The suffering caused by the terrorists is the real torture.
79	0	Comment:	"In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965."
80	0	Comment:	Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.
83	1	Comment:	The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.
88	0	Comment:	Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.
89	0	Comment:	"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers."
97	0	Comment:	The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.
99	0	Comment:	"Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells."
100	0	Comment:	"Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone."
