sentence_source	label	label_notes	sentence	e1	e2	e1_e2	count_e1	count_e2	count_e1_e2
8005	0	dummy	Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus.	influenza	virus	influenza virus	"461,000,000"	"7,060,000,000"	"250,000,000"
8027	0	dummy	"The same effect is achieved the traditional way, with a team of workers like Keebler elves."	effect	way	effect way	"10,060,000,000"	"19,620,000,000"	"8,830,000,000"
8031	1	dummy	"Of the hundreds of strains of avian influenza A viruses, only four have caused human infections: H5N1, H7N3, H7N7, and H9N2."	viruses	infections	viruses infections	"4,500,000,000"	"4,260,000,000"	"1,040,000,000"
8041	1	dummy	The subject of imply is the source of an implication while the subject of infer is the recipient of an implication.	subject	implication	subject implication	"5,640,000,000"	"1,710,000,000"	"849,000,000"
8043	1	dummy	The treaty establishes a double majority rule for Council decisions.	treaty	rule	treaty rule	"509,000,000"	"9,630,000,000"	"206,000,000"
8055	1	dummy	"In South Africa, which has one of the best police to public ratios on the continent, the share of murders that result in a conviction is about 18%, compared to 56% in the US and 61% in the UK."	murders	conviction	murders conviction	"1,400,000,000"	"581,000,000"	"201,000,000"
8058	1	dummy	Traffic vibrations on the street outside had caused the movement of the light.	vibrations	movement	vibrations movement	"534,000,000"	"4,530,000,000"	"106,000,000"
8073	0	dummy	"The slide, which was triggered by an avalanche-control crew, damaged one home and blocked the road for most of the day."	slide	crew	slide crew	"3,140,000,000"	"2,380,000,000"	"86,100,000"
8083	1	dummy	Muscle fatigue is the number one cause of arm muscle pain.	fatigue	pain	fatigue pain	"1,640,000,000"	"6,970,000,000"	"405,000,000"
8105	0	dummy	It spilled more than 53000 gallons of crude oil into the surrounding marshes one of the bigger spills caused by the hurricane.	spills	hurricane	spills hurricane	"574,000,000"	"598,000,000"	"10,800,000"
8107	0	dummy	The diseases are caused by gene mutations on the X chromosome.	diseases	gene mutations	diseases gene mutations	"7,250,000,000"	"197,000,000"	"241,000,000"
8108	1	dummy	"The pretexts offered were laughable, and the response caused scarcely a ripple on the flood of commentary on Washington's noble efforts to spread democracy."	response	ripple	response ripple	"5,910,000,000"	"256,000,000"	"34,800,000"
8116	0	dummy	"Lisa took great joy from laughing, volunteering at school, taking pictures, chatting, the Twins and Vikings, playing softball and volleyball, and time at Lake Vermilion."	joy	laughing	joy laughing	"2,150,000,000"	"1,140,000,000"	"200,000,000"
8118	1	dummy	The receiver was outputting the same tone to my Deva 5.	receiver	tone	receiver tone	"628,000,000"	"2,280,000,000"	"28,400,000"
8159	1	dummy	"The presentation uses animation to show how germs and microbes cause sickness, and outlines simple preventive measures."	microbes	sickness	microbes sickness	"364,000,000"	"1,160,000,000"	"8,980,000"
8175	0	dummy	"As a result, pollution from cars is causing serious health problems for Americans."	pollution	cars	pollution cars	"1,080,000,000"	"11,750,000,000"	"81,700,000"
