sentence_source	label	label_notes	sentence
1	3	Comment: Not a collection: there is structure here, organisation.	The system as described above has its greatest application in an arrayed configuration of antenna elements.
2	0	Comment:	The child was carefully wrapped and bound into the cradle by means of a cord.
3	2	Comment:	The author of a keygen uses a disassembler to look at the raw assembly code.
4	0	Comment:	A misty ridge uprises from the surge.
5	4	Comment:	The student association is the voice of the undergraduate student population of the State University of New York at Buffalo.
6	0	Comment:	This is the sprawling complex that is Peru's largest producer of silver.
7	1	Comment:	The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.
8	5	Comment:	People have been moving back into downtown.
9	6	Comment: prototypical example	The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces.
10	5	Comment:	The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial.
11	4	Comment:	The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel's scholarly career.
12	0	Comment: violates b.1 and c.3	Their composer has sunk into oblivion.
13	7	Comment:	The Pulitzer Committee issues an official citation explaining the reasons for the award.
14	1	Comment:	The burst has been caused by water hammer pressure.
15	2	Comment:	Even commercial networks have moved into high-definition broadcast.
16	7	Comment:	It was a friendly call to remind them about the bill and make sure they have a copy of the invoice.
17	2	Comment:	Texas-born virtuoso finds harmony, sophistication in Appalachian instrument.
18	8	Comment: (a) is satisfied	The factory's products have included flower pots, Finnish rooster-whistles, pans, trays, tea pots, ash trays and air moisturisers.
19	3	Comment:	The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley.
20	4	Comment:	They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a battalion of Panzer grenadiers.
21	9	Comment:	Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.
22	4	Comment:	She soon had a stable of her own rescued hounds.
23	1	Comment:	The singer, who performed three of the nominated songs, also caused a commotion on the red carpet.
24	0	"Comment: ""pertinent to"" is not necessarily about"	His intellectually engaging books and essays remain pertinent to illuminating contemporary history.
25	4	Comment: modality is outside	Poor hygiene controls, reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.
26	0	Comment: the blend is the material out of which the dress is made; can't be Entity-Origin because the material is still present in the dress	This sweet dress is made with a blend of cotton and silk, and the crochet flower necklace is the perfect accessory.
27	1	Comment:	Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.
28	7	Comment:	This article gives details on 2004 in music in the United Kingdom, including the official charts from that year.
29	7	Comment:	We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history.
30	3	"Comment: ""by turn off"" should be ""by turning off"", error is in the source text."	"The timer of the device automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets."
31	7	Comment:	Bob Parks made a similar offer in a phone call made earlier this week.
32	1	Comment:	He had chest pains and headaches from mold in the bedrooms.
33	8	Comment: in an abstract way the country is built/founded/produced by the father	The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the country's founding father.
34	5	Comment: the carton holds the containers	It describes a method for loading a horizontal stack of containers into a carton.
35	3	Comment:	The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond.
36	9	Comment:	The technology is available to produce and transmit electricity economically from OTEC systems.
37	0	Comment: violates c.3	The Medicare buy-in plan ran into Senate resistance.
38	3	Comment:	The provinces are divided into counties (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).
39	1	Comment:	Financial stress is one of the main causes of divorce.
40	2	Comment:	Newspapers swap content via widgets with the help of the newsgator service.
41	1	Comment:	The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.
42	6	Comment: prototypical example	The transmitter was discovered inside a bed settee suite on which he had been sitting.
43	4	Comment:	The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.
44	9	Comment:	A St. Paul College student was released from jail Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.
45	1	Comment:	Calluses are caused by improperly fitting shoes or by a skin abnormality.
46	2	Comment:	Adults use drugs for this purpose.
47	2	Comment:	The councilor proposed assessing infinitival complements through elicitation.
48	1	Comment:	"As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle."
49	0	Comment: We do not know what the notes are talking about; we only know that the notes are somehow connected to the statement.	The following information appeared in the notes to consolidated financial statements of some corporate annual reports.
50	0	Comment:	HipHop appropriates the symbols of a consumer society: oversized diamond colliers are worn.
51	1	Comment:	The radiation from the atomic bomb explosion is a typical acute radiation.
52	3	Comment:	The ride-on boat tiller was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.
53	1	Comment:	A neoplastic recurrence arose from an extensive radiation induced ulceration.
54	1	Comment:	He has a tattoo on his right arm and scars from stitches on his right elbow.
55	4	Comment:	Whether your home includes a charm of finches, a sute of bloodhounds, or a knob of toads, I think it's important to keep the numbers within reason.
56	7	Comment:	Furthermore, these INGO practitioners constructed a discourse around participation which distorted the real significance of participation.
57	0	Comment:	Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha.
58	7	Comment: A debate is a multi-way message. (Debatable, I know.)	Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession.
59	6	Comment: prototypical example	This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing.
60	0	Comment:	My major disagreement with Lyons concerns the causal part of his theory.
61	5	Comment:	Both his feet have been moving into the ball.
62	6	Comment: prototypical example	The scissors were in a small plastic soap container, next to a bar of soap, and the box cutters were in a box next to a bottle of after-shave lotion.
63	4	Comment:	A great wing of fluorite dragons, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.
64	5	Comment:	As a control, cowpea was sealed in double bags without fumigant.
65	0	Comment: diseases are not parts.	The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho.
