,sentence_source,label,predicted,accuracy,ks_test,best_distribution,label_notes,sentence,e1,e2,e1_e2,likelihood_e1_arrow_e2,nytimes_e1_arrow_e2,edu_e1_arrow_e2,skynews_e1_arrow_e2,bbc_e1_arrow_e2,abc.net.au_e1_arrow_e2,springer_e1_arrow_e2,mit.edu_e1_arrow_e2,nationalgeographic_e1_arrow_e2,time_e1_arrow_e2,wikipedia_e1_arrow_e2,oreilly_e1_arrow_e2,gov.au_e1_arrow_e2,IMDB_e1_arrow_e2,wiley_e1_arrow_e2,smh_e1_arrow_e2,economist_e1_arrow_e2,ncbi.nlm.nih.gov_e1_arrow_e2,nejm_e1_arrow_e2
0,142,0,0,1,None,,dummy,This as well as kinetic data support the hypothesis of inhibition through altered membrane properties.,inhibition,altered membrane properties,inhibition altered membrane properties,-1,0.005141217,0.132231405,,0.024297646,0.014315375,0.019107558,0.123372598,0.166023166,,0.01774275,0.008739076,0.098805646,,0.027369373,0.006872852,0.030740276,0.030612245,0.043554007
1,143,0,1,0,None,,dummy,Hundreds of thousands in central China are sleeping outdoors for fear of more tremors after Saturday's earthquake.,tremors,earthquake,tremors earthquake,2,0.823432343,0.949134767,0.937007874,0.87487781,0.929303023,0.71468144,0.939738727,0.949197861,0.861858191,0.918979745,0.9342723,0.780516432,0.69787234,0.635514019,0.820842256,0.847022587,0.251439539,0.164333405
2,144,0,1,0,"KstestResult(statistic=0.47, pvalue=0.0018857073610859532)","{'uniform': {'loc': 0.39243027888446214, 'scale': 0.5422955696795065}}",dummy,"Dehydration from fluid loss generally is the only major problem the virus can cause, most often in the elderly.",Dehydration,fluid loss,Dehydration fluid loss,0,0.610271903,0.841605069,,0.529880478,0.54375,0.89688507,0.850549451,0.713170732,0.42804878,0.66598778,0.510204082,0.757874016,0.551924473,0.683467742,0.392430279,0.812559923,0.934725849,0.804181745
3,152,0,0,1,None,,dummy,Givers gain moral strength and happiness from giving.,happiness,giving,happiness giving,-2,0.86604471,0.901885761,0.971205466,0.416666667,0.772695773,0.981539847,0.798305637,0.827455919,0.638546398,0.931372549,0.796041308,0.905336722,0.237749546,0.976344734,0.622431004,0.846899225,0.994869739,0.762669343
4,153,0,0,1,None,,dummy,"The joy comes from cather's writing: precise observation and wording, the lilting cadence of her phrasing, the beautiful and clear pictures she evokes of scenery and characters, and the unfamiliar, old fashioned words and expressions she uses.",joy,writing,joy writing,-1,0.965741288,0.9776347,0.902061856,0.866851595,0.833601545,0.992593958,0.943657635,0.936470588,0.866906475,0.999942021,0.881410256,0.932059448,0.936406668,0.993202084,0.834805654,0.905349794,0.998831985,0.966845344
5,154,0,1,0,"KstestResult(statistic=0.215, pvalue=0.4806316571202618)","{'beta': {'a': 16.975993693999172, 'b': 0.9359796578640622, 'loc': -1.1789573072931199, 'scale': 2.17742643469574}}",dummy,There is a rise in erratic behaviour from substance abuse and frustration caused by long waits for hospital treatment.,erratic behaviour,substance abuse,erratic behaviour substance abuse,0,0.948073702,0.985136536,,0.911932737,0.958994709,0.866941886,0.867321867,0.408018868,0.905242592,0.919448331,,0.910683012,0.861842105,0.913719943,0.854906054,0.502409639,0.995551457,0.998469127
6,155,0,1,0,None,,dummy,"In one day, the Red Crescent treated more than injuries  mainly broken bones caused by panic from aftershocks.",panic,aftershocks,panic aftershocks,2,0.060379919,0.035539701,0.151012891,0.050131926,0.038716873,0.136546185,0.029304029,0.116851169,0.088038398,0.10128388,0.086870681,0.017516281,0.133175729,0.187105816,0.073595868,0.051823417,0.024726855,0.024116657
7,158,0,0,1,None,,dummy,"I'm finding the most joy comes from Asian flavours; beautiful fresh fish; things that have been marinated; roasted vegetables; meats that intensify in flavour during the cooking process; and dishes made from the most brilliant, fresh, in-season food.",joy,Asian flavours,joy Asian flavours,-1,0.008631741,0.006475777,,0.043348281,0.037423199,0.099738513,0.009954264,0.066575154,0.002157497,0.02949332,0.000270197,0.034399517,0.000383348,0.118488838,0.133055169,0.302325581,0.084903352,
8,159,0,0,1,None,,dummy,"Whilst audio sampled at 8kHz is sufficient for communication, such narrow-band speech does not sound natural, leading to user frustration after prolonged exposure, and making language learning difficult.",frustration,prolonged exposure,frustration prolonged exposure,-1,0.018352539,0.2375,,0.006953475,0.035234076,0.64142539,0.152878888,0.090247453,0.022303697,0.07763259,0.007586314,0.268077601,0.008378815,0.721943049,0.01586104,0.023276289,0.958205912,0.770816812
9,160,0,1,0,None,,dummy,Videotape is a fragile medium subject to damage and deterioration from exposure to poor environmental conditions and inadequate handling practices.,deterioration,exposure,deterioration exposure,2,0.736788618,0.946722382,0.897510133,0.746248295,0.964291332,0.88247255,0.821155184,0.90541754,0.840016885,0.997354475,0.943396226,0.900962861,0.866983373,0.902181097,0.816037736,0.722672065,0.947921801,0.734323432
