sentence_source	label	label_notes	sentence	e1	e2	e1_e2	count_e1	count_e2	count_e1_e2
1	0	dummy	The period of tumor shrinkage after radiation therapy is often long and varied (mean months).	tumor shrinkage	radiation therapy	tumor shrinkage radiation therapy	5,800,000	1,860,000,000	6,530,000
3	0	dummy	Earplugs relieve the discomfort from traveling with a cold allergy or sinus condition.	discomfort	traveling	discomfort traveling	2,780,000,000	4,000,000,000	13,900,000
4	0	dummy	We continue to see progress toward a world free of the daily terror of antipersonnel land mines.	daily terror	antipersonnel land mines	daily terror antipersonnel land mines	154,000,000	781,000	492,000
6	0	dummy	The report links conditions in some of the worst affected localities and the likelihood that dire poverty  combined with despair and outrage over rampant corruption, repressive policies, and governments' failure to address local needs  could lead to outbreaks of localised unrest with the potential to spread into a wider regional conflict.	outrage	rampant corruption	outrage rampant corruption	1,310,000,000	11,200,000	5,950,000
8	0	dummy	Famine following drought has hit the West African savannahs, where there have been other bad droughts, notably the great one of 1972-74.	Famine	drought	Famine drought	171,000,000	2,250,000,000	8,050,000
9	0	dummy	People in Hawaii might be feeling aftershocks from that powerful earthquake for weeks.	aftershocks	earthquake	aftershocks earthquake	22,200,000	2,440,000,000	3,660,000
11	1	dummy	Zinc is essential for growth and cell division.	Zinc	growth	Zinc growth	3,050,000,000	3,530,000,000	190,000,000
13	0	dummy	Apartment residents in Delaware were awarded $million for health problems attributed to mold growth from unrepaired leaks.	mold growth	unrepaired leaks	mold growth unrepaired leaks	81,200,000	587,000	275,000
14	0	dummy	This industry and way of life, however, is in trouble as salmon decline due to habitat degradation from dams, clearcutting, and overgrazing along streams.	habitat degradation	dams	habitat degradation dams	57,800,000	1,750,000,000	9,180,000
15	0	dummy	It is widely known that significant reductions of these levels produce pastries with poor lift in the oven and with unacceptable shrinkage after cooling.	shrinkage	cooling	shrinkage cooling	128,000,000	3,290,000,000	39,700,000
16	0	dummy	Teens will find a realistic model for improving self-esteem, confronting challenges head on and the possibilities of achievement through perseverance.	achievement	perseverance	achievement perseverance	4,310,000,000	1,420,000,000	18,600,000
23	0	dummy	There should be no revenue increase from the tax cuts - except possibly from the cuts in the higher tax rates.	revenue increase	tax cuts	revenue increase tax cuts	4,620,000,000	614,000,000	129,000,000
25	0	dummy	There exists a widespread controversy over stem cell research that emanates from the techniques used in the creation and usage of stem cells.	controversy	stem cell research	controversy stem cell research	3,950,000,000	2,530,000,000	32,900,000
27	0	dummy	Aromatherapy can be used for stress relief through massage with sedatives like lavender and sweet marjoram.	stress relief	massage	stress relief massage	2,290,000,000	709,000,000	44,400,000
29	0	dummy	The resulting anti-social behaviour from alcohol consumption is an on-going matter that the town and the police continue to address, particularly in the summer months.	anti-social behaviour	alcohol consumption	anti-social behaviour alcohol consumption	1,730,000,000	4,240,000,000	56,300,000
30	0	dummy	Complementing the data from PARK, GeoFEST will model the evolution of stress and strain in a detailed simulation of the crust and mantle, potentially helping researchers predict the deformation from an earthquake or a series of quakes.	deformation	earthquake	deformation earthquake	2,390,000,000	2,440,000,000	12,900,000
32	0	dummy	It is likely that the nausea comes from abnormal sensations originating from areas of the brain that are sensing the lack of oxygen.	nausea	abnormal sensations	nausea abnormal sensations	2,590,000,000	6,480,000	7,330,000
33	0	dummy	That seems to me like an accusation out of ignorance seeing that you don't even know what my characters name is.	accusation	ignorance	accusation ignorance	2,290,000,000	2,020,000,000	42,300,000
34	0	dummy	In summer 2000, an Adventist church in Polotsk, Vitebsk Region, was damaged by a fire started with flammable liquids.	fire	flammable liquids	fire flammable liquids	3,370,000,000	15,000,000	18,100,000
35	0	dummy	Genuine joy comes from profound spiritual awareness on life and an absolute clarity of direction, living for a purpose.	joy	spiritual awareness	joy spiritual awareness	3,880,000,000	156,000,000	29,500,000
39	0	dummy	Eye discomfort from this staring effect is exacerbated by low humidity.	discomfort	staring effect	discomfort staring effect	2,780,000,000	146,000,000	6,690,000
41	0	dummy	He derives great joy and happiness from cycling.	happiness	cycling	happiness cycling	3,870,000,000	3,640,000,000	119,000,000
42	0	dummy	The pollution in rain comes from mercury air pollution from coal-fired power plants and other industries.	pollution	mercury air pollution	pollution mercury air pollution	3,880,000,000	20,100,000	22,200,000
44	0	dummy	Alabama has since enacted legislation, allowing death by lethal injection as an alternative choice to death in the electric chair.	death	lethal injection	death lethal injection	3,870,000,000	56,100,000	18,900,000
47	0	dummy	Sudden death from inhalation of petroleum distillates is well recognised in misuses of volatile substances.	death	inhalation	death inhalation	3,870,000,000	2,290,000,000	72,100,000
51	0	dummy	The randomized hypertensive ABCD study demonstrated a decrease in myocardial infarction with ACE inhibitors and a decrease in overall mortality with aggressive blood pressure control.	decrease	blood pressure control	decrease blood pressure control	3,870,000,000	4,160,000,000	431,000,000
52	0	dummy	It was also felt necessary at this time to draw up a similar document, dealing not with the prevention of marine pollution by dumping, but instead with the prevention of marine pollution by discharges of dangerous substances from land-based sources, watercourses or pipelines.	marine pollution	dumping	marine pollution dumping	1,510,000,000	1,830,000,000	7,250,000
