sentence_source	label	label_notes	sentence
3	0	Comment:	The author of a keygen uses a disassembler to look at the raw assembly code.
7	1	Comment:	The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.
14	1	Comment:	The burst has been caused by water hammer pressure.
15	0	Comment:	Even commercial networks have moved into high-definition broadcast.
17	0	Comment:	Texas-born virtuoso finds harmony, sophistication in Appalachian instrument.
23	1	Comment:	The singer, who performed three of the nominated songs, also caused a commotion on the red carpet.
27	1	Comment:	Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.
32	1	Comment:	He had chest pains and headaches from mold in the bedrooms.
39	1	Comment:	Financial stress is one of the main causes of divorce.
40	0	Comment:	Newspapers swap content via widgets with the help of the newsgator service.
41	1	Comment:	The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.
45	1	Comment:	Calluses are caused by improperly fitting shoes or by a skin abnormality.
46	0	Comment:	Adults use drugs for this purpose.
47	0	Comment:	The councilor proposed assessing infinitival complements through elicitation.
48	1	Comment:	"As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle."
51	1	Comment:	The radiation from the atomic bomb explosion is a typical acute radiation.
53	1	Comment:	A neoplastic recurrence arose from an extensive radiation induced ulceration.
54	1	Comment:	He has a tattoo on his right arm and scars from stitches on his right elbow.
71	1	Comment:	The continuing Nigerian outbreak is the biggest ever caused by the vaccine.
73	1	Comment:	The fire inside WTC was caused by exploding fuel.
76	1	Comment:	The suffering caused by the terrorists is the real torture.
79	1	Comment:	In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.
80	1	Comment:	Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.
81	0	Comment:	A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel.
83	1	Comment:	The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.
88	1	Comment:	Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.
89	1	Comment:	AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers.
94	0	Comment:	This user plays games on a portable console.
96	0	Comment:	The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away.
97	1	Comment:	The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.
99	1	Comment:	"Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells."
100	1	Comment:	Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.
103	1	Comment:	Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal.
104	0	Comment:	A programmer uses a high level language to implement its algorithms.
105	1	Comment:	The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids.
108	0	Comment:	From the Scots (Lingle) and French (Ligneul, Lignoul), comes a shoemaker's sewing thread, waxed and bristled (See Waxed End).
117	1	Comment:	Forward motion of the vehicle through the air caused a suction on the road draft tube.
126	0	Comment:	A thief who tried to steal the truck broke the igenition with screwdriver.
129	1	Comment:	The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online.
139	1	Comment:	Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds.
145	1	Comment:	The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position.
152	1	Comment:	The water pushed to the coast resulted in tides as much as three feet above normal, with waves of 5-10 feet atop these tides.
163	0	Comment:	Initially the user calibrates the microscope with a fluorescence lifetime standard positioned at the sample plane.
