,sentence_source,label,predicted,ks_test,best_distribution,distribution_summary,bayesfactor,max_test,min_test,label_notes,sentence,e1,e2,e1_e2,likelihood_e2_arrow_e1,wiley_e2_arrow_e1,gov.au_e2_arrow_e1,abc.net.au_e2_arrow_e1,nationalgeographic_e2_arrow_e1,smh_e2_arrow_e1,oreilly_e2_arrow_e1,springer_e2_arrow_e1,edu_e2_arrow_e1,wikipedia_e2_arrow_e1,nejm.org_e2_arrow_e1,bbc_e2_arrow_e1,time_e2_arrow_e1,mit.edu_e2_arrow_e1,au.news.yahoo.com_e2_arrow_e1,skynews_e2_arrow_e1,economist_e2_arrow_e1,ncbi.nlm.nih.gov_e2_arrow_e1,nytimes_e2_arrow_e1,IMDB_e2_arrow_e1
0,8005,0,1,None,,,inf,0.9999,0,dummy,Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus.,influenza,virus,influenza virus,1,0.032525722,0.299794661,0.104560623,0.015387926,0.156887755,0.012048193,0.05308831,0.062998405,0.183722037,0.121387283,0.02257184,0.065155807,0.102316602,0.007355567,0.020533396,0.06870229,0.015742823,0.090909091,0.028998819
1,8027,0,0,None,,,NaNe-Inf ,0.9966,0,dummy,"The same effect is achieved the traditional way, with a team of workers like Keebler elves.",effect,way,effect way,1,0.474683544,0.316072301,0.128540305,0.198748044,0.161947905,0.23584387,0.60046729,0.345424567,0.072858287,0.51417004,0.045058884,0.160175268,0.343583678,0.588028169,0.169139466,0.425373134,0.650306748,0.051498075,0.238554217
2,8031,1,1,None,,,4.53E+63,0.9824,0,dummy,"Of the hundreds of strains of avian influenza A viruses, only four have caused human infections: H5N1, H7N3, H7N7, and H9N2.",viruses,infections,viruses infections,6,0.257165927,0.286222222,0.453376206,0.705882353,0.314690529,0.868101029,0.399719495,0.41285956,0.619047619,0.411764706,0.708061002,0.743922204,0.584681769,0.887761573,0.601449275,0.633528265,0.33662035,0.390804598,0.692345197
3,8041,1,0,"KstestResult(statistic=0.10631578947368421, pvalue=0.9828070385181545)","{'cauchy': {'loc': 0.7616333958275359, 'scale': 0.06729049666262807}}","         sumsquare_error        aic        bic  kl_div
cauchy       1089.608004  83.682375  82.822430     inf
t            1129.105603  47.980645  86.443417     inf
norm         1188.933208 -15.311343  84.479960     inf
lognorm      1189.110383 -13.229895  87.427230     inf
gamma        1194.393485 -14.129506  87.511458     inf",NaNe-Inf ,0.8287,0.3977,dummy,The subject of imply is the source of an implication while the subject of infer is the recipient of an implication.,subject,implication,subject implication,0,0.303867403,0.781148429,0.714285714,0.778109453,0.760028149,0.719360568,0.353333333,0.75862069,0.998280739,0.541530945,0.864960282,0.934755332,0.684108527,0.775641026,0.788530466,0.676334107,0.520661157,0.795395081,0.954788387
4,8043,1,0,"KstestResult(statistic=0.22157894736842104, pvalue=0.3542233696627073)","{'lognorm': {'s': 1.4104678490011873, 'loc': -0.0006577641267793161, 'scale': 0.03385831509085608}}","          sumsquare_error         aic         bic  kl_div
lognorm       8181.535694 -143.135047  124.072044     inf
gamma         8509.441242 -128.553928  124.818676     inf
invgamma      8728.568699 -133.168134  125.301753     inf
chi2          8757.854518  -94.427083  125.365395     inf
expon         8770.173436 -199.519648  122.447663     inf",NaNe-Inf ,1,1,dummy,The treaty establishes a double majority rule for Council decisions.,treaty,rule,treaty rule,0,0.010336486,0.037104673,0.043048694,0.1327142,0.063400576,0.007678677,0.012183075,0.009698528,0.003448626,0.005919524,0.057181756,0.191419142,0.049316696,0.168639053,0.139323574,0.228215768,0.00084181,0.088863892,0.061009289
5,8055,1,0,None,,,NaNe-Inf ,0.9657,0,dummy,"In South Africa, which has one of the best police to public ratios on the continent, the share of murders that result in a conviction is about 18%, compared to 56% in the US and 61% in the UK.",murders,conviction,murders conviction,2,0.361538462,0.340163934,0.819299905,0.834907442,0.572864322,0.397311426,0.367292225,0.414951246,0.985619648,0.41108545,0.751072961,0.612244898,0.622589532,0.466052934,0.769968051,0.448905109,0.410635155,0.769620253,0.97496438
6,8058,1,1,None,,,inf,1,0,dummy,Traffic vibrations on the street outside had caused the movement of the light.,vibrations,movement,vibrations movement,1,0.103210401,0.068366985,0.05624037,0.072531242,0.03472077,0.161118509,0.107461621,0.038881608,0.000363153,0.050742147,0.045683485,0.056280762,0.121522694,0.026971663,0.014849344,0.041750503,0.005550416,0.051405851,0.050798258
7,8073,0,0,"KstestResult(statistic=1.0, pvalue=0.0)","{'chi2': {'df': 69.07972211783016, 'loc': -1.3639477361134253, 'scale': 0.02719852764912184}}","          sumsquare_error        aic        bic  kl_div
chi2           507.637816  41.846952  71.254573     inf
invgamma       507.801305  42.094097  71.260691     inf
lognorm        507.821263  41.861374  71.261438     inf
gamma          507.932907  41.897128  71.265614     inf
norm           507.985349  39.943515  68.323137     inf",NaNe-Inf ,1,1,dummy,"The slide, which was triggered by an avalanche-control crew, damaged one home and blocked the road for most of the day.",slide,crew,slide crew,0,0.966167859,0.260557053,0.2476934,0.483760684,0.368421053,0.819075713,0.921985816,0.785024155,0.055928412,0.964777948,0.095928226,0.548856549,0.52710177,0.51433121,0.165145985,0.546875,0.993550343,0.524253731,0.000985118
8,8083,1,1,None,,,inf,0.9999,0,dummy,Muscle fatigue is the number one cause of arm muscle pain.,fatigue,pain,fatigue pain,1,0.091575092,0.170798898,0.243277048,0.147286822,0.126133553,0.128982886,0.062696319,0.134963768,0.083816763,0.123581337,0.157261795,0.133064516,0.164556962,0.133257403,0.098684211,0.105818917,0.044095439,0.126664602,0.139211886
9,8105,0,1,None,,,2.708181,0.9866,0,dummy,It spilled more than 53000 gallons of crude oil into the surrounding marshes one of the bigger spills caused by the hurricane.,spills,hurricane,spills hurricane,1,0.321899736,0.830618893,0.211881188,0.477434679,0.102874026,0.496383958,0.586206897,0.599443672,0.217665615,0.498989899,0.497685185,0.476688103,0.413513514,0.582491582,0.365269461,0.505668934,0.670289855,0.387037037,0.4705365
